ping_index	ping_time	channel_id	channel_freq	Ranges	angle_alongship	angle_athwartship
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	20.20349693	-4.463023186	-2.755600691
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	22.36983871	-3.465311527	7.298667431
32	27:22.9	WBT Tube 253689-7 ES38-18DK-Split	38000	23.59429359	1.754538178	-0.08676482
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	5.309893608	1.498593211	1.411955714
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	6.298875809	-1.146988392	-0.505211115
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	8.159104347	-6.467670441	6.011805534
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	11.91488171	3.409887791	3.408216715
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	12.86854362	0.868577302	-3.567701101
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	13.30416679	2.120980978	2.286068201
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	15.05843353	-0.015628783	-8.614729881
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	16.69496346	3.478518963	2.683164597
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	18.2961731	4.400524139	-0.013895418
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	18.5080986	3.177978754	-0.217817798
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	20.2741375	3.289479971	0.444578767
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	22.60531044	-1.275380611	0.026501667
32	27:22.9	WBT Tube 244670-15 ES70-7CD	70000	23.6531601	3.871319532	-0.722351074
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	7.024914265	3.4259758	-1.290334344
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	10.35291862	1.792084813	1.77431643
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	11.81284523	2.219247818	1.501661897
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	15.54900074	0.144950509	0.841360807
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	16.60077477	0.847945392	-0.046700016
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	18.47670174	2.268432617	-1.834374785
33	27:23.2	WBT Tube 244668-15 ES120-7CD	120000	22.55821609	-2.258673906	-1.652922511
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	6.463706493	3.104250193	-1.696793556
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	7.028839588	3.783696413	0.940452039
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	11.80891991	1.919603109	3.590060711
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	16.60470009	0.586549759	2.2283957
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	18.468853	1.927502632	0.137269825
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	20.17994881	1.959850788	0.675836027
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	22.53074455	-2.60684824	0.036067303
33	27:23.2	WBT Tube 244667-15 ES200-7CD	200000	23.58644485	2.131367683	-0.417052001
33	27:23.2	WBT Tube 244673-15 ES333-7CD	333000	6.455857277	3.274661779	-2.168132782
33	27:23.2	WBT Tube 244673-15 ES333-7CD	333000	10.94552326	1.929770231	2.44932723
33	27:23.2	WBT Tube 244673-15 ES333-7CD	333000	11.81284523	1.847759843	2.81349206
33	27:23.2	WBT Tube 244673-15 ES333-7CD	333000	15.90613365	0.624319851	0.954461873
33	27:23.2	WBT Tube 244673-15 ES333-7CD	333000	16.60077477	0.376213223	0.98870784
